panel_allele,locus,frequency,n_total,n_studies,method
HLA-A01:01,A,0.064127,32777,210,afnd_weighted_pooled
HLA-A02:01,A,0.151851,33597,246,afnd_weighted_pooled
HLA-A03:01,A,0.054483,28581,188,afnd_weighted_pooled
HLA-A24:02,A,0.16113,30659,220,afnd_weighted_pooled
HLA-A26:01,A,0.031361,34919,226,afnd_weighted_pooled
HLA-B07:02,B,0.048088,30647,175,afnd_weighted_pooled
HLA-B08:01,B,0.040185,33082,196,afnd_weighted_pooled
HLA-B27:05,B,0.019629,25581,144,afnd_weighted_pooled
HLA-B39:01,B,0.024066,31781,186,afnd_weighted_pooled
HLA-B40:01,B,0.044265,47702,295,afnd_weighted_pooled
HLA-B58:01,B,0.039028,35168,208,afnd_weighted_pooled
HLA-B15:01,B,0.043433,45574,265,afnd_weighted_pooled
HLA-C01:02,C,0.075729,30637,173,afnd_weighted_pooled
HLA-C03:04,C,0.067124,29984,155,afnd_weighted_pooled
HLA-C04:01,C,0.117602,31398,184,afnd_weighted_pooled
HLA-C05:01,C,0.037509,28243,150,afnd_weighted_pooled
HLA-C06:02,C,0.080362,33407,193,afnd_weighted_pooled
HLA-C07:01,C,0.090583,30576,176,afnd_weighted_pooled
HLA-C07:02,C,0.120735,32284,190,afnd_weighted_pooled
HLA-C08:02,C,0.029272,27431,148,afnd_weighted_pooled
HLA-C12:03,C,0.040562,29467,174,afnd_weighted_pooled
HLA-C15:02,C,0.03583,28772,161,afnd_weighted_pooled
HLA-C16:01,C,0.034864,24547,145,afnd_weighted_pooled
DRB1_0101,DR,0.041976,56592,382,afnd_weighted_pooled
DRB1_0301,DR,0.066694,65692,432,afnd_weighted_pooled
DRB1_0401,DR,0.032501,51193,339,afnd_weighted_pooled
DRB1_0405,DR,0.0372,49807,339,afnd_weighted_pooled
DRB1_0701,DR,0.093368,52617,371,afnd_weighted_pooled
DRB1_0802,DR,0.040286,38228,271,afnd_weighted_pooled
DRB1_0901,DR,0.0481,29075,149,afnd_weighted_pooled
DRB1_1101,DR,0.064477,55983,363,afnd_weighted_pooled
DRB1_1201,DR,0.028936,51337,349,afnd_weighted_pooled
DRB1_1302,DR,0.041488,55004,358,afnd_weighted_pooled
DRB1_1501,DR,0.080044,55112,378,afnd_weighted_pooled
DRB3_0101,DR,,0,0,unavailable_no_afnd_data
DRB3_0202,DR,,0,0,unavailable_no_afnd_data
DRB4_0101,DR,,0,0,unavailable_no_afnd_data
DRB5_0101,DR,,0,0,unavailable_no_afnd_data
HLA-DQA10501-DQB10201,DQ,0.025655,26545,217,afnd_weighted_pooled_product_independence
HLA-DQA10501-DQB10301,DQ,0.049431,26545,217,afnd_weighted_pooled_product_independence
HLA-DQA10301-DQB10302,DQ,0.023932,19626,147,afnd_weighted_pooled_product_independence
HLA-DQA10401-DQB10402,DQ,0.00281,29651,238,afnd_weighted_pooled_product_independence
HLA-DQA10101-DQB10501,DQ,0.011856,28011,221,afnd_weighted_pooled_product_independence
HLA-DQA10102-DQB10602,DQ,0.012749,28286,216,afnd_weighted_pooled_product_independence
HLA-DPA10201-DPB10101,DP,0.008689,3234,27,afnd_weighted_pooled_product_independence
HLA-DPA10103-DPB10201,DP,0.076471,3696,31,afnd_weighted_pooled_product_independence
HLA-DPA10103-DPB10401,DP,0.105241,3696,31,afnd_weighted_pooled_product_independence
HLA-DPA10301-DPB10402,DP,0.009709,3028,25,afnd_weighted_pooled_product_independence
HLA-DPA10201-DPB10501,DP,0.021592,3234,27,afnd_weighted_pooled_product_independence
HLA-DPA10201-DPB11401,DP,0.004735,3234,27,afnd_weighted_pooled_product_independence
